City,Beach,Date,Enterococcus
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-03,8.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-08,22.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-15,17.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-22,8.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-29,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-05,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-12,68.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-19,32.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-26,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-04,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-11,14.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-18,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-25,14.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-01,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-08,20.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-15,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-22,52.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-29,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-06,6.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-13,76.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-20,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-27,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-03,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-10,3.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-17,48.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-24,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-01,7.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-08,96.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-15,66.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-22,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-29,7.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-05,8.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-12,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-19,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-26,57.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-02,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-09,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-16,19.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-23,4.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-30,18.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-07,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-14,28.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-21,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-28,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-04,1.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-11,10.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-18,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-25,11.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-02,2.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-09,31.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-16,108.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-23,5.0
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-30,10.0
BERTIOGA,BORACÉIA - SUL,2012-01-03,16.0
BERTIOGA,BORACÉIA - SUL,2012-01-08,1.0
BERTIOGA,BORACÉIA - SUL,2012-01-15,1.0
BERTIOGA,BORACÉIA - SUL,2012-01-22,15.0
BERTIOGA,BORACÉIA - SUL,2012-01-29,7.0
BERTIOGA,BORACÉIA - SUL,2012-02-05,2.0
BERTIOGA,BORACÉIA - SUL,2012-02-12,18.0
BERTIOGA,BORACÉIA - SUL,2012-02-19,45.0
BERTIOGA,BORACÉIA - SUL,2012-02-26,4.0
BERTIOGA,BORACÉIA - SUL,2012-03-04,1.0
BERTIOGA,BORACÉIA - SUL,2012-03-11,19.0
BERTIOGA,BORACÉIA - SUL,2012-03-18,4.0
BERTIOGA,BORACÉIA - SUL,2012-03-25,68.0
BERTIOGA,BORACÉIA - SUL,2012-04-01,1.0
BERTIOGA,BORACÉIA - SUL,2012-04-08,9.0
BERTIOGA,BORACÉIA - SUL,2012-04-15,6.0
BERTIOGA,BORACÉIA - SUL,2012-04-22,37.0
BERTIOGA,BORACÉIA - SUL,2012-04-29,6.0
BERTIOGA,BORACÉIA - SUL,2012-05-06,2.0
BERTIOGA,BORACÉIA - SUL,2012-05-13,68.0
BERTIOGA,BORACÉIA - SUL,2012-05-20,45.0
BERTIOGA,BORACÉIA - SUL,2012-05-27,1.0
BERTIOGA,BORACÉIA - SUL,2012-06-03,2.0
BERTIOGA,BORACÉIA - SUL,2012-06-10,10.0
BERTIOGA,BORACÉIA - SUL,2012-06-17,33.0
BERTIOGA,BORACÉIA - SUL,2012-06-24,1.0
BERTIOGA,BORACÉIA - SUL,2012-07-01,2.0
BERTIOGA,BORACÉIA - SUL,2012-07-08,120.0
BERTIOGA,BORACÉIA - SUL,2012-07-15,13.0
BERTIOGA,BORACÉIA - SUL,2012-07-22,1.0
BERTIOGA,BORACÉIA - SUL,2012-07-29,38.0
BERTIOGA,BORACÉIA - SUL,2012-08-05,10.0
BERTIOGA,BORACÉIA - SUL,2012-08-12,1.0
BERTIOGA,BORACÉIA - SUL,2012-08-19,1.0
BERTIOGA,BORACÉIA - SUL,2012-08-26,280.0
BERTIOGA,BORACÉIA - SUL,2012-09-02,2.0
BERTIOGA,BORACÉIA - SUL,2012-09-09,1.0
BERTIOGA,BORACÉIA - SUL,2012-09-16,1.0
BERTIOGA,BORACÉIA - SUL,2012-09-23,3.0
BERTIOGA,BORACÉIA - SUL,2012-09-30,23.0
BERTIOGA,BORACÉIA - SUL,2012-10-07,1.0
BERTIOGA,BORACÉIA - SUL,2012-10-14,23.0
BERTIOGA,BORACÉIA - SUL,2012-10-21,1.0
BERTIOGA,BORACÉIA - SUL,2012-10-28,1.0
BERTIOGA,BORACÉIA - SUL,2012-11-04,1.0
BERTIOGA,BORACÉIA - SUL,2012-11-11,5.0
BERTIOGA,BORACÉIA - SUL,2012-11-18,3.0
BERTIOGA,BORACÉIA - SUL,2012-11-25,54.0
BERTIOGA,BORACÉIA - SUL,2012-12-02,1.0
BERTIOGA,BORACÉIA - SUL,2012-12-09,23.0
BERTIOGA,BORACÉIA - SUL,2012-12-16,3.0
BERTIOGA,BORACÉIA - SUL,2012-12-23,10.0
BERTIOGA,BORACÉIA - SUL,2012-12-30,27.0
BERTIOGA,GUARATUBA,2012-01-03,32.0
BERTIOGA,GUARATUBA,2012-01-08,1.0
BERTIOGA,GUARATUBA,2012-01-15,1.0
BERTIOGA,GUARATUBA,2012-01-22,3.0
